ticker,company,firm_group,firm_days,articles,negative_articles,negative_news_days,average_daily_return,average_log_volume,average_daily_return_pct
AAPL,Apple,Large tech,752,2306,242,186,0.0011831439808153263,17.792342100628318,0.11831439808153263
AMZN,Amazon,Large tech,752,2814,202,165,0.0015196725452364754,17.614253959082607,0.15196725452364754
DBX,Dropbox,Smaller listed tech,752,37,7,7,0.00047619667413482085,14.978575523016222,0.047619667413482086
GOOGL,Alphabet,Large tech,752,2125,180,149,0.0018654245325777478,17.210801268581733,0.18654245325777477
META,Meta,Large tech,752,1619,203,157,0.002509507765049632,16.590168032518783,0.25095077650496317
MSFT,Microsoft,Large tech,752,2977,172,133,0.0010733979493308806,16.90828134076409,0.10733979493308807
NET,Cloudflare,Smaller listed tech,752,126,6,6,0.0026120145262406506,14.953755281057104,0.2612014526240651
NVDA,Nvidia,Large tech,752,2560,161,127,0.00391726266500213,19.57803981901507,0.391726266500213
ROKU,Roku,Smaller listed tech,752,87,9,9,0.00204324243824275,15.284399448637469,0.204324243824275
SNAP,Snap,Smaller listed tech,752,185,59,49,0.0006490394342268025,17.17751892136561,0.06490394342268026
SNOW,Snowflake,Smaller listed tech,752,87,6,5,0.00118624964921999,15.419890984199665,0.11862496492199899
ZM,Zoom,Smaller listed tech,752,59,11,9,0.0005673756714673344,14.894375858019638,0.05673756714673344
