outcome,variable_label,coefficient,std_error,p_value,stars,coefficient_percent_for_returns
Daily return,Negative earnings news,-0.0036573667691593,0.0016801491656229,0.0294946904732252,**,-0.36573667691593
Daily return,Negative growth news,0.0026574100357619,0.0015555689318526,0.0875769204871765,*,0.26574100357619
Daily return,Negative regulation news,-0.0011979554076456,0.0010444773640409,0.2514054143945546,,-0.11979554076455999
Daily return,Negative competition news,-0.0022866501718669,0.0015881421044868,0.1499162986403062,,-0.22866501718669
Daily return,Negative macro news,-0.0017272557225564,0.0016984258546068,0.3091655775952321,,-0.17272557225564
Next-day return,Negative earnings news,-0.0007001891405441,0.0011439870613818,0.5404978183152902,,-0.07001891405441
Next-day return,Negative growth news,-0.0031375310364994,0.0011675955913031,0.0072059677625594,***,-0.31375310364994
Next-day return,Negative regulation news,0.0011169247262217,0.0009396873386565,0.2345919314046258,,0.11169247262217
Next-day return,Negative competition news,-0.0010970702371654,0.0014529666563228,0.4502157763460841,,-0.10970702371654001
Next-day return,Negative macro news,0.0012313325676861,0.001808857772263,0.4960462628711628,,0.12313325676861
Log trading volume,Negative earnings news,0.0284458035140608,0.0213197258043274,0.1821225625536578,,
Log trading volume,Negative growth news,-0.0099418719403922,0.0224554939809078,0.6579561730588952,,
Log trading volume,Negative regulation news,-0.0233803402777588,0.0185132809942698,0.2066267175707082,,
Log trading volume,Negative competition news,0.0373412217788294,0.0257462958745807,0.1469600596824144,,
Log trading volume,Negative macro news,-0.0214479957361256,0.0261802040260177,0.4126467653711186,,
