model,variable,category,coefficient,std_error,p_value,stars,coefficient_with_stars,std_error_formatted,observations,r_squared
Same-day return,neg_earnings_guidance,Earnings/guidance events,-0.49636025093201475,0.14706582288984432,0.0007379180461831561,***,-0.496***,(0.147),9012,0.3918875297291612
Same-day return,neg_demand_growth,Demand/growth events,0.25527680870086833,0.1449944470323456,0.07830661312328438,*,0.255*,(0.145),9012,0.3918875297291612
Same-day return,neg_legal_regulatory,Legal/regulatory events,0.014190655554385222,0.09860478963838908,0.8855680131210854,,0.014,(0.099),9012,0.3918875297291612
Same-day return,neg_product_technology,Product/technology problems,0.46703288448489844,0.19515638974556668,0.016705723751332845,**,0.467**,(0.195),9012,0.3918875297291612
Same-day return,neg_strategy_management,Strategy/management changes,0.09299833676247034,0.1584306402675132,0.5572056104112061,,0.093,(0.158),9012,0.3918875297291612
Same-day return,neg_competition_pressure,Competition pressure,-0.1966828447415775,0.15724748774072714,0.21101282268000388,,-0.197,(0.157),9012,0.3918875297291612
Next-day return,neg_earnings_guidance,Earnings/guidance events,-0.24672508165677434,0.14816100459997048,0.09586293141520073,*,-0.247*,(0.148),9012,0.3909335508282733
Next-day return,neg_demand_growth,Demand/growth events,-0.06536005646492402,0.12146659616708959,0.5905143718180594,,-0.065,(0.121),9012,0.3909335508282733
Next-day return,neg_legal_regulatory,Legal/regulatory events,0.19713509745916952,0.09201290315859735,0.03215549431825605,**,0.197**,(0.092),9012,0.3909335508282733
Next-day return,neg_product_technology,Product/technology problems,-0.07868881422158355,0.22328223693816096,0.7245243519115192,,-0.079,(0.223),9012,0.3909335508282733
Next-day return,neg_strategy_management,Strategy/management changes,0.18187773215766798,0.14702690307623997,0.21607331367254123,,0.182,(0.147),9012,0.3909335508282733
Next-day return,neg_competition_pressure,Competition pressure,-0.05338741427919059,0.14093869305281453,0.7048372444194142,,-0.053,(0.141),9012,0.3909335508282733
Log trading volume,neg_earnings_guidance,Earnings/guidance events,0.08962745556174437,0.023099449133141575,0.00010442685372107683,***,0.090***,(0.023),9024,0.9354745105734179
Log trading volume,neg_demand_growth,Demand/growth events,0.047269614351239185,0.024874546441019777,0.057391052551785164,*,0.047*,(0.025),9024,0.9354745105734179
Log trading volume,neg_legal_regulatory,Legal/regulatory events,0.017361709665079106,0.022247991291114193,0.4351719385697542,,0.017,(0.022),9024,0.9354745105734179
Log trading volume,neg_product_technology,Product/technology problems,-0.02459362844488444,0.03871893306408016,0.5253087259885534,,-0.025,(0.039),9024,0.9354745105734179
Log trading volume,neg_strategy_management,Strategy/management changes,-0.0030221994767158367,0.02533963902482524,0.9050633033825136,,-0.003,(0.025),9024,0.9354745105734179
Log trading volume,neg_competition_pressure,Competition pressure,-0.00961950180071304,0.031350111566119894,0.7589643452649116,,-0.010,(0.031),9024,0.9354745105734179
